เมืองสตูล,สตูล,6.546,99.706
เมืองระยอง,ระยอง,12.646,101.171
เมืองชุมพร,ชุมพร,10.459,99.403
สวี,ชุมพร,10.291,99.241
เมืองมหาสารคาม,มหาสารคาม,16.162,103.484
เกาะสมุย,สุราษฎร์ธานี,9.708,99.675
สัตหีบ,ชลบุรี,12.611,100.889
หาดสำราญ,ตรัง,7.033,99.449
ปะทิว,ชุมพร,10.862,99.486
ทุ่งตะโก,ชุมพร,10.165,99.176
แหลมสิงห์,จันทบุรี,12.465,102.066
คุระบุรี,พังงา,9.406,97.901
เกาะกูด,ตราด,11.817,102.397
สุขสำราญ,ระนอง,9.401,98.392
กันตัง,ตรัง,7.272,99.475
ดอนสัก,สุราษฎร์ธานี,9.31,99.66
เมืองภูเก็ต,ภูเก็ต,7.924,98.455
สิเกา,ตรัง,7.47,99.32
ศรีราชา,ชลบุรี,13.174,100.92
เมืองกระบี่,กระบี่,8.049,98.676
อ่าวลึก,กระบี่,8.211,98.687
เมืองระนอง,ระนอง,9.877,98.442
ถลาง,ภูเก็ต,8.116,98.425
บางละมุง,ชลบุรี,12.928,100.805
แกลง,ระยอง,12.584,101.51
กะเปอร์,ระนอง,9.595,98.469
เกาะลันตา,กระบี่,7.576,99.142
เกาะพะงัน,สุราษฎร์ธานี,9.802,99.979
ขลุง,จันทบุรี,12.288,102.251
พระนคร,กรุงเทพมหานคร,13.753,100.5
เกาะยาว,พังงา,7.892,98.581
ปะเหลียน,ตรัง,7.152,99.651
เหนือคลอง,กระบี่,7.801,98.995
ท่าใหม่,จันทบุรี,12.512,101.95
เกาะช้าง,ตราด,12.161,102.247
ดุสิต,กรุงเทพมหานคร,13.758,100.517
ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,13.752,100.507
สัมพันธวงศ์,กรุงเทพมหานคร,13.734,100.513
เมืองชลบุรี,ชลบุรี,13.376,100.99
บางรัก,กรุงเทพมหานคร,13.725,100.514
หลังสวน,ชุมพร,10.051,99.188
ขนอม,นครศรีธรรมราช,9.324,99.775
เมืองสมุทรสาคร,สมุทรสาคร,13.533,100.276
ธนบุรี,กรุงเทพมหานคร,13.731,100.49
คลองสาน,กรุงเทพมหานคร,13.731,100.497
ภาษีเจริญ,กรุงเทพมหานคร,13.727,100.457
เสนา,พระนครศรีอยุธยา,14.328,100.404
บางกอกใหญ่,กรุงเทพมหานคร,13.743,100.486
เมืองลพบุรี,ลพบุรี,14.802,100.611
พระประแดง,สมุทรปราการ,13.656,100.533
เมืองอ่างทอง,อ่างทอง,14.588,100.459
ราชเทวี,กรุงเทพมหานคร,13.752,100.528
ตลิ่งชัน,กรุงเทพมหานคร,13.76,100.456
พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.341,100.581
ปทุมวัน,กรุงเทพมหานคร,13.744,100.52
เมืองปัตตานี,ปัตตานี,6.87,101.256
เมืองเชียงใหม่,เชียงใหม่,18.785,98.985
วัดสิงห์,ชัยนาท,15.263,100.041
บางกอกน้อย,กรุงเทพมหานคร,13.759,100.481
บางคอแหลม,กรุงเทพมหานคร,13.706,100.508
บางบัวทอง,นนทบุรี,13.914,100.422
เมืองชัยนาท,ชัยนาท,15.181,100.127
ลับแล,อุตรดิตถ์,17.652,100.039
คลองเตย,กรุงเทพมหานคร,13.723,100.571
สาทร,กรุงเทพมหานคร,13.71,100.532
บ้านไผ่,ขอนแก่น,16.035,102.723
วัฒนา,กรุงเทพมหานคร,13.743,100.56
เมืองนครศรีธรรมราช,นครศรีธรรมราช,8.434,99.966
ชุมแสง,นครสวรรค์,15.896,100.315
บางพลัด,กรุงเทพมหานคร,13.781,100.482
ปากเกร็ด,นนทบุรี,13.902,100.55
เมืองเพชรบุรี,เพชรบุรี,13.121,99.9
เมืองสิงห์บุรี,สิงห์บุรี,14.89,100.404
บางคนที,สมุทรสงคราม,13.487,99.958
บ้านโป่ง,ราชบุรี,13.816,99.873
เมืองนครนายก,นครนายก,14.204,101.219
ผักไห่,พระนครศรีอยุธยา,14.435,100.384
แก่งคอย,สระบุรี,14.586,101.002
จอมทอง,กรุงเทพมหานคร,13.702,100.476
นครชัยศรี,นครปฐม,13.787,100.192
บางกรวย,นนทบุรี,13.811,100.453
อัมพวา,สมุทรสงคราม,13.427,99.954
พนัสนิคม,ชลบุรี,13.45,101.18
ท่ามะกา,กาญจนบุรี,13.954,99.752
เมืองปทุมธานี,ปทุมธานี,14.031,100.552
เมืองสระบุรี,สระบุรี,14.529,100.886
เมืองพิษณุโลก,พิษณุโลก,16.789,100.25
บางไทร,พระนครศรีอยุธยา,14.315,100.462
เมืองฉะเชิงเทรา,ฉะเชิงเทรา,13.707,101.1
ไชโย,อ่างทอง,14.687,100.494
เมืองเชียงราย,เชียงราย,19.907,99.832
โพธาราม,ราชบุรี,13.695,99.853
กระแสสินธุ์,สงขลา,7.561,100.356
สันกำแพง,เชียงใหม่,18.735,99.136
สามโคก,ปทุมธานี,14.043,100.544
เมืองสมุทรปราการ,สมุทรปราการ,13.623,100.565
บ้านลาด,เพชรบุรี,13.102,99.895
เมืองนนทบุรี,นนทบุรี,13.823,100.492
ท่าเรือ,พระนครศรีอยุธยา,14.566,100.719
หนองจิก,ปัตตานี,6.858,101.158
เสาไห้,สระบุรี,14.565,100.848
เมืองสมุทรสงคราม,สมุทรสงคราม,13.399,99.976
หาดใหญ่,สงขลา,7.045,100.446
หางดง,เชียงใหม่,18.689,98.98
ป่าซาง,ลำพูน,18.537,98.933
บางปะหัน,พระนครศรีอยุธยา,14.414,100.564
เมืองพังงา,พังงา,8.446,98.524
พร้าว,เชียงใหม่,19.359,99.202
บ้านแพรก,พระนครศรีอยุธยา,14.64,100.585
เมืองหนองคาย,หนองคาย,17.89,102.761
เมืองอุบลราชธานี,อุบลราชธานี,15.244,104.894
เมืองสุโขทัย,สุโขทัย,17.012,99.822
เมืองนครปฐม,นครปฐม,13.819,100.05
ละงู,สตูล,6.834,99.691
เมืองพะเยา,พะเยา,19.172,99.894
กระทุ่มแบน,สมุทรสาคร,13.654,100.25
เมืองจันทบุรี,จันทบุรี,12.611,102.105
ดอยสะเก็ด,เชียงใหม่,18.841,99.088
มหาราช,พระนครศรีอยุธยา,14.566,100.542
ตะกั่วป่า,พังงา,8.829,98.362
อุทัย,พระนครศรีอยุธยา,14.355,100.622
ระโนด,สงขลา,7.789,100.269
เมืองลำพูน,ลำพูน,18.573,99.002
ห้วยขวาง,กรุงเทพมหานคร,13.769,100.577
หนองขาหย่าง,อุทัยธานี,15.371,99.9
เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,9.137,99.32
ยะหริ่ง,ปัตตานี,6.787,101.458
บางบาล,พระนครศรีอยุธยา,14.41,100.464
บางปะอิน,พระนครศรีอยุธยา,14.295,100.621
แม่วาง,เชียงใหม่,18.554,98.849
สารภี,เชียงใหม่,18.736,99.059
ยานนาวา,กรุงเทพมหานคร,13.682,100.533
เมืองแพร่,แพร่,18.14,100.142
โพธิ์ทอง,อ่างทอง,14.638,100.389
หล่มสัก,เพชรบูรณ์,16.839,101.239
เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,19.302,97.97
ดำเนินสะดวก,ราชบุรี,13.517,99.949
นครหลวง,พระนครศรีอยุธยา,14.489,100.675
ราษฎร์บูรณะ,กรุงเทพมหานคร,13.67,100.51
เมืองบุรีรัมย์,บุรีรัมย์,14.999,103.104
ป่าโมก,อ่างทอง,14.509,100.461
สันทราย,เชียงใหม่,18.857,99.046
แม่ริม,เชียงใหม่,18.929,98.948
สูงเม่น,แพร่,18.09,100.168
ตะพานหิน,พิจิตร,16.222,100.427
หลักสี่,กรุงเทพมหานคร,13.871,100.58
ลาดพร้าว,กรุงเทพมหานคร,13.84,100.6
เมืองสงขลา,สงขลา,7.163,100.542
เมืองน่าน,น่าน,18.793,100.786
บางมูลนาก,พิจิตร,16.033,100.479
มายอ,ปัตตานี,6.749,101.357
สวรรคโลก,สุโขทัย,17.315,99.834
ไม้แก่น,ปัตตานี,6.627,101.64
หนองแซง,สระบุรี,14.515,100.841
สามพราน,นครปฐม,13.714,100.247
รามัน,ยะลา,6.464,101.374
เกาะสีชัง,ชลบุรี,13.151,100.809
วิเศษชัยชาญ,อ่างทอง,14.542,100.315
เดิมบางนางบวช,สุพรรณบุรี,14.85,99.988
เมืองสุพรรณบุรี,สุพรรณบุรี,14.471,100.116
บางคล้า,ฉะเชิงเทรา,13.722,101.21
เมืองยะลา,ยะลา,6.523,101.181
บางใหญ่,นนทบุรี,13.854,100.434
บ้านโพธิ์,ฉะเชิงเทรา,13.633,101.078
เมืองอุทัยธานี,อุทัยธานี,15.455,99.963
เมืองตรัง,ตรัง,7.599,99.664
สูงเนิน,นครราชสีมา,14.909,101.851
วารินชำราบ,อุบลราชธานี,15.198,104.815
ศรีสำโรง,สุโขทัย,17.158,99.858
ยะรัง,ปัตตานี,6.717,101.299
เมืองเพชรบูรณ์,เพชรบูรณ์,16.42,101.156
หนองม่วงไข่,แพร่,18.271,100.218
บ้านหมี่,ลพบุรี,15.016,100.578
ปากท่อ,ราชบุรี,13.354,99.856
ท่าม่วง,กาญจนบุรี,13.974,99.625
บ้านแหลม,เพชรบุรี,13.155,99.976
พานทอง,ชลบุรี,13.544,101.075
จุฬาภรณ์,นครศรีธรรมราช,8.028,99.924
หนองแค,สระบุรี,14.337,100.869
สทิงพระ,สงขลา,7.58,100.406
เมืองปราจีนบุรี,ปราจีนบุรี,14.057,101.374
ดอยหล่อ,เชียงใหม่,18.504,98.841
เมืองตาก,ตาก,16.862,99.129
ภาชี,พระนครศรีอยุธยา,14.442,100.725
เมืองราชบุรี,ราชบุรี,13.593,99.796
ท่าช้าง,สิงห์บุรี,14.801,100.409
พนมไพร,ร้อยเอ็ด,15.6,104.139
สิงหนคร,สงขลา,7.214,100.567
พิบูลมังสาหาร,อุบลราชธานี,15.248,105.226
พุนพิน,สุราษฎร์ธานี,9.125,99.199
ดินแดง,กรุงเทพมหานคร,13.778,100.567
เมืองนครราชสีมา,นครราชสีมา,14.98,102.164
ธาตุพนม,นครพนม,17.066,104.749
เมืองนครพนม,นครพนม,17.409,104.781
แม่แตง,เชียงใหม่,19.144,99.024
พระสมุทรเจดีย์,สมุทรปราการ,13.606,100.567
ทุ่งสง,นครศรีธรรมราช,8.168,99.689
พรหมบุรี,สิงห์บุรี,14.811,100.458
พญาไท,กรุงเทพมหานคร,13.782,100.545
สระโบสถ์,ลพบุรี,15.169,100.793
สันป่าตอง,เชียงใหม่,18.531,98.864
เมืองมุกดาหาร,มุกดาหาร,16.53,104.724
อรัญประเทศ,สระแก้ว,13.68,102.517
บางแค,กรุงเทพมหานคร,13.683,100.396
สายบุรี,ปัตตานี,6.764,101.591
ปะนาเระ,ปัตตานี,6.838,101.477
ท่ายาง,เพชรบุรี,12.99,99.883
